run_dir,setting,language_mode,language,model_family,seed,context,features,include_mwe_segment,transform,id,label,test_pred,test_proba_literal,MWE,seen_mwe_type,train_mwe_freq_bin,is_ambiguous_mwe,slice_minority_instance,slice_ambiguous
one_shot__PT__previous_target_next_True_none_empty__mBERT__seed51,one_shot,per_language,PT,mBERT,51,previous_target_next,,True,none,29f82002-19af-48d2-9282-be14f04b4a7f,0,0,0.0005885686841793,livre-docente,True,10-19,False,,control
one_shot__PT__previous_target_next_True_none_empty__mBERT__seed51,one_shot,per_language,PT,mBERT,51,previous_target_next,,True,none,5a492558-216b-4513-828a-80e6c9279233,0,0,0.0006178124458529,livre-docente,True,10-19,False,,control
one_shot__PT__previous_target_next_True_none_empty__mBERT__seed51,one_shot,per_language,PT,mBERT,51,previous_target_next,,True,none,82765976-6d41-42dc-8264-bf1ed51fb4fb,0,0,0.0007082879310473,livre-docente,True,10-19,False,,control
one_shot__PT__previous_target_next_True_none_empty__mBERT__seed51,one_shot,per_language,PT,mBERT,51,previous_target_next,,True,none,732ddd85-4849-4f41-aa7d-4f25756b4d54,0,0,0.0005583104211837,livre-docente,True,10-19,False,,control
one_shot__PT__previous_target_next_True_none_empty__mBERT__seed51,one_shot,per_language,PT,mBERT,51,previous_target_next,,True,none,89b8c58f-e919-435a-b925-e462d85ab3d0,0,0,0.0006123152561485,livre-docente,True,10-19,False,,control
one_shot__PT__previous_target_next_True_none_empty__mBERT__seed51,one_shot,per_language,PT,mBERT,51,previous_target_next,,True,none,7d8b2fe1-63ac-41aa-9bc3-fff1ba50fcb0,0,0,0.000549295451492,livre-docente,True,10-19,False,,control
one_shot__PT__previous_target_next_True_none_empty__mBERT__seed51,one_shot,per_language,PT,mBERT,51,previous_target_next,,True,none,d9d0ac52-2149-49d2-be3b-cd4bfe4e3517,0,0,0.0006129280664026,livre-docente,True,10-19,False,,control
one_shot__PT__previous_target_next_True_none_empty__mBERT__seed51,one_shot,per_language,PT,mBERT,51,previous_target_next,,True,none,47b1158d-9244-4748-b287-e5da7a616247,0,0,0.0005694862338714,livre-docente,True,10-19,False,,control
one_shot__PT__previous_target_next_True_none_empty__mBERT__seed51,one_shot,per_language,PT,mBERT,51,previous_target_next,,True,none,56cbe0ca-6f2e-4ee9-b854-1fcc163e6c0c,0,0,0.0005501245614141,livre-docente,True,10-19,False,,control
one_shot__PT__previous_target_next_True_none_empty__mBERT__seed51,one_shot,per_language,PT,mBERT,51,previous_target_next,,True,none,baad189f-04a0-4b37-bd85-5954bf40c872,0,0,0.0005629512597806,livre-docente,True,10-19,False,,
one_shot__PT__previous_target_next_True_none_empty__mBERT__seed51,one_shot,per_language,PT,mBERT,51,previous_target_next,,True,none,2e8d2b5b-93ce-4b06-bef1-9f1d0d7fc57f,0,0,0.0006517917499877,livre-docente,True,10-19,False,,control
one_shot__PT__previous_target_next_True_none_empty__mBERT__seed51,one_shot,per_language,PT,mBERT,51,previous_target_next,,True,none,b65e8d60-17f9-48df-8136-a52fae861e98,0,0,0.0005663224728778,livre-docente,True,10-19,False,,control
one_shot__PT__previous_target_next_True_none_empty__mBERT__seed51,one_shot,per_language,PT,mBERT,51,previous_target_next,,True,none,5d856da4-9d64-400a-8969-cc58bc19590b,0,0,0.0006341229891404,livre-docente,True,10-19,False,,
one_shot__PT__previous_target_next_True_none_empty__mBERT__seed51,one_shot,per_language,PT,mBERT,51,previous_target_next,,True,none,d4f9e3ce-47e0-49ab-b4e0-e3e0e247eb3a,0,0,0.0006876224651932,livre-docente,True,10-19,False,,control
