,run_dir,setting,language_mode,language,model_family,seed,context,features,include_mwe_segment,transform,eval_language,accuracy,macro_f1,macro_precision,macro_recall,tp,tn,fp,fn,features_norm,variant,context_label,regime
3,zero_shot__EN_PT_GL__previous_target_next_True_highlight_empty__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,previous_target_next,,True,highlight,EN,0.8443396226415094,0.8439925073588439,0.8436964313542153,0.8452335696236499,169,189,38,28,empty,Highlight,Full,joint
4,zero_shot__EN_PT_GL__previous_target_next_True_highlight_empty__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,previous_target_next,,True,highlight,GL,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,1,2,2,empty,Highlight,Full,joint
5,zero_shot__EN_PT_GL__previous_target_next_True_highlight_empty__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,previous_target_next,,True,highlight,PT,0.714975845410628,0.6924684612091758,0.698943661971831,0.6890748031496063,46,102,25,34,empty,Highlight,Full,joint
7,zero_shot__EN_PT_GL__previous_target_next_True_highlight_glosses__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,previous_target_next,glosses,True,highlight,EN,0.839622641509434,0.8385847049602508,0.8391763676737769,0.8381448601265682,161,195,32,36,glosses,Highlight + Glosses,Full,joint
8,zero_shot__EN_PT_GL__previous_target_next_True_highlight_glosses__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,previous_target_next,glosses,True,highlight,GL,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,2,1,1,glosses,Highlight + Glosses,Full,joint
9,zero_shot__EN_PT_GL__previous_target_next_True_highlight_glosses__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,previous_target_next,glosses,True,highlight,PT,0.7294685990338164,0.7089192446765769,0.7148148148148148,0.705511811023622,48,103,24,32,glosses,Highlight + Glosses,Full,joint
11,zero_shot__EN_PT_GL__previous_target_next_True_highlight_ner__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,previous_target_next,ner,True,highlight,EN,0.7759433962264151,0.7758823103929849,0.7826585695006747,0.7810214897470873,168,161,66,29,ner,Highlight + NER,Full,joint
12,zero_shot__EN_PT_GL__previous_target_next_True_highlight_ner__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,previous_target_next,ner,True,highlight,GL,0.5,0.4857142857142857,0.5,0.5,2,1,2,1,ner,Highlight + NER,Full,joint
13,zero_shot__EN_PT_GL__previous_target_next_True_highlight_ner__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,previous_target_next,ner,True,highlight,PT,0.714975845410628,0.6957778054552248,0.6987878787878787,0.6937007874015748,48,100,27,32,ner,Highlight + NER,Full,joint
15,zero_shot__EN_PT_GL__target_True_highlight_empty__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,target,,True,highlight,EN,0.7594339622641509,0.7568151147098514,0.7918867423968357,0.7706344059571995,183,139,88,14,empty,Highlight,Target,joint
16,zero_shot__EN_PT_GL__target_True_highlight_empty__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,target,,True,highlight,GL,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,2,1,1,empty,Highlight,Target,joint
17,zero_shot__EN_PT_GL__target_True_highlight_empty__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,target,,True,highlight,PT,0.6473429951690821,0.6322015334063527,0.6312439729990357,0.6339566929133857,46,88,39,34,empty,Highlight,Target,joint
19,zero_shot__EN_PT_GL__target_True_highlight_glosses__mBERT__seed51,zero_shot,multilingual,EN_PT_GL,mBERT,51,target,glosses,True,highlight,EN,0.8066037735849056,0.8026518935609845,0.813206272280342,0.8005992978376082,141,201,26,56,glosses,Highlight + Glosses,Target,joint
