run_dir,setting,language_mode,language,model_family,seed,context,features,include_mwe_segment,transform,slice,n,accuracy,macro_precision,macro_recall,macro_f1,tp,tn,fp,fn,slice_group
one_shot__PT__previous_target_next_True_none_empty__mBERT__seed51,one_shot,per_language,PT,mBERT,51,previous_target_next,,True,none,ALL,207,0.748792270531401,0.735572038203617,0.7281988188976378,0.7311688311688311,51,104,23,29,ambiguous
one_shot__PT__previous_target_next_True_none_empty__mBERT__seed51,one_shot,per_language,PT,mBERT,51,previous_target_next,,True,none,ambiguous_mwe_ids,86,0.6976744186046512,0.6736425339366516,0.6827380952380953,0.6765046296296295,19,41,15,11,ambiguous
one_shot__PT__previous_target_next_True_none_empty__mBERT__seed51,one_shot,per_language,PT,mBERT,51,previous_target_next,,True,none,majority_instance_ids,56,0.7321428571428571,0.5,0.36607142857142855,0.42268041237113396,0,41,15,0,ambiguous
one_shot__PT__previous_target_next_True_none_empty__mBERT__seed51,one_shot,per_language,PT,mBERT,51,previous_target_next,,True,none,minority_instance_ids,30,0.6333333333333333,0.5,0.31666666666666665,0.3877551020408163,19,0,0,11,ambiguous
one_shot__PT__previous_target_next_True_none_empty__mBERT__seed51,one_shot,per_language,PT,mBERT,51,previous_target_next,,True,none,freqbin=1,9,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.6785714285714286,1,6,1,1,freqbin
one_shot__PT__previous_target_next_True_none_empty__mBERT__seed51,one_shot,per_language,PT,mBERT,51,previous_target_next,,True,none,freqbin=10-19,161,0.7515527950310559,0.7379993556701031,0.740713587487781,0.7392290249433107,43,78,21,19,freqbin
one_shot__PT__previous_target_next_True_none_empty__mBERT__seed51,one_shot,per_language,PT,mBERT,51,previous_target_next,,True,none,freqbin=2-4,16,0.75,0.7666666666666666,0.75,0.746031746031746,5,7,1,3,freqbin
one_shot__PT__previous_target_next_True_none_empty__mBERT__seed51,one_shot,per_language,PT,mBERT,51,previous_target_next,,True,none,freqbin=20-29,21,0.7142857142857143,0.8421052631578947,0.625,0.6062500000000001,2,13,0,6,freqbin
zero_shot__EN__previous_target_next_True_highlight_empty__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,,True,highlight,ALL,424,0.7783018867924528,0.7962231005709266,0.7865784118607304,0.777465103294249,178,152,75,19,ambiguous
zero_shot__EN__previous_target_next_True_highlight_empty__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,,True,highlight,ambiguous_mwe_ids,246,0.6951219512195121,0.6781222968926741,0.7211665565102445,0.6722389014229628,53,118,60,15,ambiguous
zero_shot__EN__previous_target_next_True_highlight_empty__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,,True,highlight,majority_instance_ids,201,0.6666666666666666,0.6318885760257442,0.6999237804878049,0.6175994548087571,31,103,57,10,ambiguous
zero_shot__EN__previous_target_next_True_highlight_empty__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,,True,highlight,minority_instance_ids,45,0.8222222222222222,0.815,0.8240740740740741,0.8178137651821862,22,15,3,5,ambiguous
zero_shot__EN__previous_target_next_True_highlight_empty__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,,True,highlight,freqbin=1,3,1.0,1.0,1.0,1.0,1,2,0,0,freqbin
zero_shot__EN__previous_target_next_True_highlight_empty__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,,True,highlight,freqbin=10-19,178,0.848314606741573,0.8457358394067256,0.8466666666666667,0.8461735428736037,65,86,14,13,freqbin
zero_shot__EN__previous_target_next_True_highlight_empty__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,,True,highlight,freqbin=2-4,10,0.7,0.8125,0.7,0.6703296703296704,2,5,0,3,freqbin
zero_shot__EN__previous_target_next_True_highlight_empty__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,,True,highlight,freqbin=20-29,233,0.7253218884120172,0.7974438785134881,0.7325589970501475,0.711499767837796,110,59,61,3,freqbin
zero_shot__EN__previous_target_next_True_highlight_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,glosses,True,highlight,ALL,424,0.8066037735849056,0.8056307162503634,0.8056307162503634,0.8056307162503634,156,186,41,41,ambiguous
zero_shot__EN__previous_target_next_True_highlight_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,glosses,True,highlight,ambiguous_mwe_ids,246,0.7439024390243902,0.6749297561859875,0.6594514210178453,0.6656671340739941,32,151,27,36,ambiguous
zero_shot__EN__previous_target_next_True_highlight_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,glosses,True,highlight,majority_instance_ids,201,0.7412935323383084,0.5961538461538461,0.5926067073170732,0.5942546583850932,14,135,25,27,ambiguous
zero_shot__EN__previous_target_next_True_highlight_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,glosses,True,highlight,minority_instance_ids,45,0.7555555555555555,0.77,0.7777777777777777,0.7550717466600693,18,16,2,9,ambiguous
zero_shot__EN__previous_target_next_True_highlight_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,glosses,True,highlight,freqbin=1,3,1.0,1.0,1.0,1.0,1,2,0,0,freqbin
zero_shot__EN__previous_target_next_True_highlight_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,glosses,True,highlight,freqbin=10-19,178,0.8089887640449438,0.8316744730679158,0.7905128205128205,0.7965577517816325,50,94,6,28,freqbin
zero_shot__EN__previous_target_next_True_highlight_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,glosses,True,highlight,freqbin=2-4,10,0.8,0.8571428571428572,0.8,0.7916666666666665,3,5,0,2,freqbin
zero_shot__EN__previous_target_next_True_highlight_glosses__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,glosses,True,highlight,freqbin=20-29,233,0.8025751072961373,0.8149711070559611,0.8054941002949852,0.8015185185185185,102,85,35,11,freqbin
zero_shot__EN__previous_target_next_True_highlight_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,ner,True,highlight,ALL,424,0.8702830188679245,0.871082621082621,0.8728169234553544,0.8701956527789374,179,190,37,18,ambiguous
zero_shot__EN__previous_target_next_True_highlight_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,ner,True,highlight,ambiguous_mwe_ids,246,0.8495934959349594,0.8096311626875601,0.846083939193655,0.8232312442951195,57,152,26,11,ambiguous
zero_shot__EN__previous_target_next_True_highlight_ner__mBERT__seed51,zero_shot,per_language,EN,mBERT,51,previous_target_next,ner,True,highlight,majority_instance_ids,201,0.8407960199004975,0.7634877058963954,0.8365091463414633,0.7870198675496689,34,135,25,7,ambiguous
